name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,log_kms_driven
Hero Honda Splendor Plus,12000,19,1,0,48000,87958.71405750798,10.778977123006351
Hero Passion PRO i3s,50000,7,1,0,18000,56925.0,9.798182590890704
Royal Enfield Classic 350,140000,6,1,0,20000,87958.71405750798,9.90353755128617
Honda Activa 5G,55000,5,1,0,9000,59422.0,9.105090961257085
Yamaha Fascino 110,45000,8,1,0,56000,54500.0,10.933124826700707
Hero Splendor Plus,25000,12,1,0,50000,87958.71405750798,10.819798284210286
Royal Enfield Thunderbird 350,90000,10,1,0,12000,87958.71405750798,9.392745258631441
Yamaha YZF R15 V3,120000,6,1,0,11500,87958.71405750798,9.350189267092581
KTM RC 200,120000,9,1,0,20000,87958.71405750798,9.90353755128617
TVS Radeon,35000,7,1,0,20000,66492.0,9.90353755128617
Hero HF Deluxe,35000,7,1,0,27000,87958.71405750798,10.203629181337648
BMW G310GS,300000,6,1,0,2500,349000.0,7.824445930877619
Royal Enfield Thunderbird 350,87000,12,1,0,20477,87958.71405750798,9.927106418134763
Hero Honda Splendor Plus,18000,14,1,0,35700,87958.71405750798,10.482933978579906
Yamaha FZ S V 2.0,50000,10,1,0,70000,84042.0,11.156264806643742
Bajaj Avenger Street 220,60000,8,1,0,29000,95955.0,10.275085591132715
Hero Honda Splendor Plus,15000,20,1,0,14500,87958.71405750798,9.581972891547895
Bajaj Platina 100,30000,6,1,0,37000,87958.71405750798,10.518700218288165
Royal Enfield Thunderbird 350X,160000,6,1,0,3246,87958.71405750798,8.085486772102845
